ticker;year;total_assets;total_debt;invested_capital;working_capital;stockholders_equity;retained_earnings;long_term_debt;current_assets;current_liabilities;current_debt;payables_and_accrued_expenses;total_liabilities_net_minority_interest;accounts_payable;accounts_receivable;investments_and_advances;net_ppe;inventory;receivables;cash_and_cash_equivalents;cash_cash_equivalents_and_short_term_investments;goodwill;common_stock;share_issued
AAPL;2020;323888000000;122278000000;177775000000;38321000000;65339000000;14966000000;98667000000;143713000000;105392000000;13769000000;42296000000;258549000000;42296000000;16120000000;100887000000;45336000000;4061000000;37445000000;38016000000;90943000000;NULL;50779000000;16976763000
GOOGL;2020;319616000000;26772000000;235376000000;117462000000;222544000000;163401000000;12832000000;174296000000;56834000000;NULL;31102000000;97072000000;5589000000;30930000000;20703000000;96960000000;728000000;31384000000;26465000000;136694000000;21175000000;58510000000;13504440000
AMZN;2020;321195000000;84389000000;125220000000;6348000000;93404000000;52551000000;31816000000;132733000000;126385000000;NULL;116677000000;227791000000;72539000000;24542000000;NULL;150667000000;23795000000;24542000000;42122000000;84396000000;15017000000;5000000;10540000000
NVDA;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRK-B;2020;873729000000;116895000000;560059000000;NULL;443164000000;444626000000;113547000000;NULL;NULL;3348000000;45568000000;422393000000;NULL;33893000000;409183000000;187017000000;NULL;35852000000;47990000000;138290000000;73734000000;8000000;1658096
META;2020;159316000000;10654000000;128290000000;60689000000;128290000000;77345000000;NULL;75670000000;14981000000;NULL;7498000000;31026000000;1331000000;11335000000;6234000000;54981000000;NULL;11335000000;17576000000;61954000000;19050000000;0;2849000000
TSLA;2020;52148000000;13279000000;32496000000;12469000000;22225000000;-5399000000;8513000000;26717000000;14248000000;1758000000;8460000000;28469000000;6051000000;1886000000;NULL;23378000000;4101000000;1886000000;19384000000;19384000000;207000000;1000000;2880000000
UNH;2020;197289000000;43467000000;108958000000;-18702000000;65491000000;69295000000;38648000000;53718000000;72420000000;4819000000;44367000000;126750000000;44367000000;12870000000;41242000000;8626000000;NULL;25404000000;16921000000;19781000000;71337000000;10000000;946000000
JNJ;2020;174894000000;35266000000;98544000000;8744000000;63278000000;113890000000;32635000000;51237000000;42493000000;2631000000;36378000000;111616000000;9505000000;13576000000;NULL;18766000000;9344000000;13576000000;13985000000;25185000000;36393000000;3120000000;3119843000
V;2020;80919000000;24070000000;55194000000;13135000000;36210000000;14088000000;21071000000;27645000000;14510000000;2999000000;4664000000;44709000000;174000000;1618000000;231000000;2737000000;NULL;2882000000;16289000000;20041000000;15910000000;0;2120445500
XOM;2020;332750000000;67640000000;223110000000;-11470000000;157150000000;383943000000;45502000000;44893000000;56363000000;20458000000;35905000000;168620000000;17499000000;16339000000;29915000000;227553000000;18850000000;20581000000;4364000000;4364000000;NULL;15688000000;8019000000
PG;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
