ticker;free_cash_flow;capital_expenditure;changes_in_cash;financing_cash_flow;operating_cash_flow;investing_cash_flow;change_in_working_capital;change_in_receivables;depreciation_and_amortization;net_ppe_purchase_and_sale
AAPL;2024-06-30 00:00:00.000;-2151000000;-7286000000;-36017000000;28858000000;-127000000;1684000000;-2094000000;2850000000;-2151000000
AAPL;2024-03-31 00:00:00.000;-1996000000;-8053000000;-30433000000;22690000000;-310000000;-5764000000;8767000000;2836000000;-1996000000
AAPL;2023-12-31 00:00:00.000;-2392000000;11237000000;-30585000000;39895000000;1927000000;1123000000;11124000000;2848000000;-2392000000
AAPL;2023-09-30 00:00:00.000;-2163000000;839000000;-23153000000;21598000000;2394000000;-6060000000;-21137000000;2653000000;-2163000000
MSFT;2024-06-30 00:00:00.000;-13873000000;-1216000000;-23563000000;37195000000;-14848000000;7184000000;-13246000000;6380000000;-13873000000
MSFT;2024-03-31 00:00:00.000;-10952000000;2409000000;-18808000000;31917000000;-10700000000;2522000000;-2028000000;6027000000;-10952000000
MSFT;2023-12-31 00:00:00.000;-9735000000;-63219000000;-10147000000;18853000000;-71925000000;-10300000000;-2951000000;5959000000;-9735000000
MSFT;2023-09-30 00:00:00.000;-9917000000;45847000000;14761000000;30583000000;503000000;2418000000;11034000000;3921000000;-9917000000
GOOGL;2024-06-30 00:00:00.000;-13186000000;2970000000;-20889000000;26640000000;-2781000000;-5270000000;-3057000000;3708000000;-13186000000
GOOGL;2024-03-31 00:00:00.000;-12012000000;570000000;-19714000000;28848000000;-8564000000;-2463000000;3167000000;3413000000;-12012000000
GOOGL;2023-12-31 00:00:00.000;-11019000000;-6560000000;-19308000000;18915000000;-6167000000;-10271000000;-6518000000;1563000000;-11019000000
GOOGL;2023-09-30 00:00:00.000;-8055000000;5124000000;-18382000000;30656000000;-7150000000;2117000000;-2821000000;4924000000;-8055000000
AMZN;2024-06-30 00:00:00.000;-17620000000;-1347000000;-4490000000;25281000000;-22138000000;-6084000000;-2209000000;12038000000;-16393000000
AMZN;2024-03-31 00:00:00.000;-14925000000;-129000000;-1256000000;18989000000;-17862000000;-9883000000;3684000000;11684000000;-13935000000
AMZN;2023-12-31 00:00:00.000;-14588000000;23118000000;-6746000000;42465000000;-12601000000;13505000000;2016000000;13820000000;-13353000000
AMZN;2023-09-30 00:00:00.000;-12479000000;516000000;-8948000000;21217000000;-11753000000;-4436000000;-6718000000;12131000000;-11298000000
NVDA;2024-07-31 00:00:00.000;-977000000;984000000;-10320000000;14488000000;-3184000000;-1660000000;-1767000000;433000000;-977000000
NVDA;2024-04-30 00:00:00.000;-369000000;307000000;-9345000000;15345000000;-5693000000;834000000;-2366000000;410000000;-369000000
NVDA;2024-01-31 00:00:00.000;-254000000;1761000000;-3629000000;11499000000;-6109000000;-1719000000;-1690000000;387000000;-254000000
NVDA;2023-10-31 00:00:00.000;-278000000;-363000000;-4525000000;7332000000;-3170000000;-2733000000;-1243000000;372000000;-278000000
BRK-B;2024-06-30 00:00:00.000;-4535000000;7008000000;854000000;13602000000;-7448000000;6374000000;-1614000000;3198000000;-4535000000
BRK-B;2024-03-31 00:00:00.000;-4393000000;-2439000000;-9802000000;10566000000;-3203000000;-695000000;469000000;3168000000;-4393000000
BRK-B;2023-12-31 00:00:00.000;-5708000000;6913000000;-136000000;14400000000;-7351000000;10794000000;912000000;3129000000;-5708000000
BRK-B;2023-09-30 00:00:00.000;-5303000000;-19015000000;-4636000000;13669000000;-28048000000;-4322000000;-1667000000;3210000000;-5303000000
META;2024-06-30 00:00:00.000;-8173000000;-106000000;-11178000000;19370000000;-8298000000;-741000000;-1170000000;3637000000;-8173000000
META;2024-03-31 00:00:00.000;-6400000000;-9255000000;-19767000000;19246000000;-8734000000;223000000;2520000000;3374000000;-6400000000
META;2023-12-31 00:00:00.000;-7665000000;4531000000;-8401000000;19404000000;-6472000000;-1271000000;-2843000000;3172000000;-7592000000
META;2023-09-30 00:00:00.000;-6543000000;8450000000;-5875000000;20402000000;-6077000000;-995000000;-678000000;2859000000;-6496000000
TSLA;2024-06-30 00:00:00.000;-2272000000;2927000000;2540000000;3612000000;-3225000000;138000000;137000000;1278000000;-2272000000
TSLA;2024-03-31 00:00:00.000;-2777000000;-4646000000;196000000;242000000;-5084000000;-2661000000;-422000000;1246000000;-2777000000
TSLA;2023-12-31 00:00:00.000;-2307000000;453000000;887000000;4370000000;-4804000000;798000000;-963000000;1232000000;-2307000000
TSLA;2023-09-30 00:00:00.000;-2459000000;809000000;2263000000;3308000000;-4762000000;-618000000;881000000;1235000000;-2459000000
UNH;2024-06-30 00:00:00.000;-853000000;-1867000000;-1196000000;6746000000;-7417000000;-91000000;3691000000;1020000000;-853000000
UNH;2024-03-31 00:00:00.000;-743000000;3035000000;8231000000;1144000000;-6340000000;-6242000000;-6162000000;997000000;-743000000
UNH;2023-12-31 00:00:00.000;-959000000;-13536000000;-7156000000;-5193000000;-1187000000;-11853000000;-540000000;974000000;-959000000
UNH;2023-09-30 00:00:00.000;-838000000;-2841000000;-7104000000;6902000000;-2639000000;-410000000;-2771000000;1007000000;-838000000
JNJ;2024-06-30 00:00:00.000;-976000000;-510000000;7544000000;5633000000;-13687000000;-452000000;-884000000;1782000000;-976000000
JNJ;2024-03-31 00:00:00.000;-807000000;3739000000;546000000;3657000000;-464000000;-338000000;-279000000;1815000000;-807000000
JNJ;2023-12-31 00:00:00.000;-2059000000;2006000000;-4655000000;7863000000;-1202000000;3247000000;227000000;1843000000;-1589000000
JNJ;2023-09-30 00:00:00.000;-967000000;-1287000000;-11317000000;7489000000;2541000000;-602000000;-252000000;1829000000;-967000000
V;2024-06-30 00:00:00.000;-400000000;378000000;-5311000000;5134000000;555000000;-3777000000;1179000000;264000000;-400000000
V;2024-03-31 00:00:00.000;-281000000;-512000000;-3874000000;4538000000;-1176000000;-3787000000;-849000000;249000000;-281000000
V;2023-12-31 00:00:00.000;-267000000;-2654000000;-4379000000;3614000000;-1889000000;-5122000000;-452000000;247000000;-267000000
V;2023-09-30 00:00:00.000;-305000000;1159000000;-4580000000;6927000000;-1188000000;-1283000000;191000000;247000000;-305000000
XOM;2024-06-30 00:00:00.000;-6235000000;-6867000000;-12558000000;10560000000;-4869000000;-4616000000;NULL;NULL;-6235000000
XOM;2024-03-31 00:00:00.000;-5074000000;2105000000;-7982000000;14664000000;-4577000000;2008000000;NULL;NULL;-5074000000
XOM;2023-12-31 00:00:00.000;-6228000000;-1587000000;-9555000000;13682000000;-5714000000;-2191000000;NULL;NULL;-6228000000
XOM;2023-09-30 00:00:00.000;-4920000000;3625000000;-8059000000;15963000000;-4279000000;1821000000;NULL;NULL;-4920000000
PG;2024-06-30 00:00:00.000;-783000000;2737000000;-2499000000;5754000000;-518000000;1443000000;-74000000;761000000;NULL
PG;2024-03-31 00:00:00.000;-797000000;-943000000;-4269000000;4088000000;-762000000;-606000000;147000000;712000000;NULL
PG;2023-12-31 00:00:00.000;-817000000;-1950000000;-6049000000;5100000000;-1002000000;-487000000;-9000000;721000000;NULL
PG;2023-09-30 00:00:00.000;-925000000;1643000000;-2038000000;4904000000;-1222000000;-786000000;-830000000;702000000;NULL
LLY;2024-06-30 00:00:00.000;-1402800000;823000000;1555500000;1466200000;-2198700000;-1399100000;NULL;414400000;-1224800000
LLY;2024-03-31 00:00:00.000;-1082800000;-322900000;-311300000;1166000000;-1177600000;-1751200000;NULL;400600000;-986300000
