ticker;ebitda;ebit;total_expenses;diluted_eps;net_income;operating_expense;operating_income;operating_revenue;research_and_development;selling_general_and_administration;gross_profit;cost_of_revenue;total_revenue;interest_expense
AAPL;132812000000;121625000000;265009000000;6,56999999999999;101956000000;56637000000;120594000000;385603000000;30912000000;25725000000;177231000000;208372000000;385603000000;NULL
MSFT;133009000000;110722000000;135689000000;11,81;88136000000;61575000000;109433000000;245122000000;29510000000;32065000000;171008000000;74114000000;245122000000;2935000000
GOOGL;115429000000;101821000000;230347000000;6,97;87657000000;90324000000;97937000000;328284000000;47134000000;43190000000;188261000000;140023000000;328284000000;346000000
AMZN;106528000000;56855000000;549958000000;4,18;44419000000;55704000000;54376000000;604334000000;NULL;54981000000;110080000000;494254000000;604334000000;2752000000
NVDA;62974000000;61372000000;36725000000;2,129;53008000000;13589000000;59582000000;96307000000;10569000000;3020000000;73171000000;23136000000;96307000000;251000000
BRK-B;NULL;88904000000;319055000000;31,412006;67857000000;NULL;NULL;402877000000;NULL;28499000000;NULL;NULL;402877000000;5082000000
META;73688000000;60646000000;90986000000;19,59;51434000000;63133000000;58797000000;148387000000;40273000000;22860000000;121930000000;27853000000;149783000000;530000000
TSLA;12928000000;7937000000;88092000000;3,56;12390000000;9664000000;7226000000;95318000000;4480000000;5184000000;16890000000;78428000000;95318000000;261000000
UNH;27708000000;23710000000;353418000000;15,078478;14103000000;58431000000;27837000000;381255000000;NULL;NULL;86268000000;294987000000;381255000000;3493000000
JNJ;27542000000;20273000000;62841000000;15,15;38018000000;36057000000;23735000000;86576000000;14909000000;21148000000;59792000000;26784000000;86576000000;768000000
V;24835000000;23828000000;11541000000;9,35;19106000000;4621000000;23377000000;45520000000;NULL;3614000000;27998000000;6920000000;34918000000;648000000
XOM;74045000000;51291000000;299956000000;8,36;34160000000;38490000000;40699000000;340655000000;NULL;10583000000;79189000000;261466000000;340655000000;933000000
PG;22582000000;19686000000;64153000000;6,02;14880000000;23305000000;19886000000;84039000000;NULL;23305000000;43191000000;40848000000;84039000000;926000000
LLY;11229000000;9615300000;24803200000;8,11953499999999;7342200000;17311400000;14119600000;38922800000;10205800000;7105600000;31431000000;7491800000;38922800000;626000000
MA;16038000000;15181000000;10926000000;13,08;12258000000;4704000000;15464000000;26390000000;NULL;3847000000;20168000000;6222000000;26390000000;602000000
HD;24823000000;21407000000;130927000000;14,86;14772000000;29933000000;21162000000;152089000000;NULL;27139000000;51095000000;100994000000;152089000000;2058000000
CVX;43754000000;27651000000;173275000000;10,1;18720000000;35488000000;23734000000;197009000000;NULL;4190000000;59222000000;137787000000;197009000000;465000000
MRK;20584000000;16490000000;46432000000;5,39;13736000000;30971000000;16047000000;62479000000;20426000000;10545000000;47018000000;15461000000;62479000000;1240000000
ABBV;18087000000;9571000000;41279000000;3;5339000000;20794000000;13721000000;55000000000;7537000000;13257000000;34515000000;20485000000;55000000000;2505000000
PEP;16365000000;12706000000;78664000000;6,89;9519000000;36725000000;13390000000;92054000000;NULL;36725000000;50115000000;41939000000;92054000000;854000000
KO;15592000000;14500000000;34235000000;2,46999999999999;10648000000;15897000000;12230000000;46465000000;NULL;8054000000;28127000000;18338000000;46465000000;1581000000
PFE;5485000000;-1212000000;54355000000;-0,459999999999999;-2595000000;30844000000;1287000000;55642000000;10715000000;15068000000;32131000000;23511000000;55642000000;2951000000
AVGO;21893000000;13562000000;32511000000;1,15099999999999;5095000000;15610000000;14304000000;46815000000;8464000000;4367000000;29914000000;16901000000;46815000000;3442000000
COST;11985000000;9766000000;244671000000;16,13;7173000000;22682000000;9024000000;253695000000;NULL;22682000000;31706000000;221989000000;253695000000;176000000
TMO;11644000000;8325000000;34876000000;16,1199999999999;6221000000;9791000000;7470000000;42346000000;1316000000;8475000000;17261000000;25085000000;42346000000;1466000000
MCD;13855900000;11848400000;13996100000;11,43;8307100000;2913600000;11761300000;25425000000;NULL;2526400000;14674900000;11082500000;25757400000;1445900000
WMT;36893000000;24451000000;636798000000;1,923334;15552000000;135549000000;28237000000;665035000000;NULL;135549000000;163786000000;501249000000;665035000000;2770000000
CSCO;15747000000;13240000000;40833000000;2,54;10320000000;21858000000;12970000000;53803000000;7983000000;13177000000;34828000000;18975000000;53803000000;1006000000
ACN;10791441000;9379426000;55320746000;10,92;6953449000;11851391000;9155099000;64475845000;NULL;11047015000;21006490000;43469355000;64475845000;53537000
ABT;10362000000;7115000000;34243000000;3,17;5557000000;16016000000;6482000000;40725000000;2754000000;11342000000;22498000000;18227000000;40725000000;606000000
DHR;6746000000;4489000000;16569000000;5,63;4203000000;8002000000;4536000000;21105000000;1415000000;6587000000;12538000000;8567000000;21105000000;281000000
NFLX;24040096000;8926481000;27656369000;16;7094775000;7266880000;8647874000;36304243000;2744227000;4522653000;15914754000;20389489000;36304243000;740847000
LIN;12560000000;8745000000;24253000000;13,14;6398000000;7041000000;8571000000;32824000000;149000000;3077000000;15612000000;17212000000;32824000000;459000000
VZ;40724000000;22849000000;104990000000;2,67;11252000000;51028000000;29253000000;134243000000;NULL;33153000000;80281000000;53962000000;134243000000;6365000000
ADBE;7756000000;6895000000;13420000000;11,84;5360000000;11044000000;7527000000;20947000000;3834000000;7041000000;18571000000;2376000000;20947000000;147000000
NKE;7155000000;6311000000;45051000000;3,73;5700000000;16576000000;6311000000;51362000000;NULL;16576000000;22887000000;28475000000;51362000000;NULL
TXN;7853000000;6453000000;10257000000;5,76;5312000000;3717000000;5835000000;16092000000;1907000000;1810000000;9552000000;6540000000;16092000000;443000000
CRM;10551000000;6950000000;29515000000;5,75;5632000000;20891000000;6950000000;36465000000;5196000000;15695000000;27841000000;8624000000;36465000000;NULL
NEE;14767000000;8601000000;18159000000;3,079094;6319000000;8162000000;7691000000;25850000000;NULL;NULL;15853000000;9997000000;25850000000;3149000000
PM;15088000000;13167000000;23082000000;5,65;8804000000;9915000000;13367000000;85853000000;NULL;9915000000;23282000000;13167000000;36449000000;1627000000
BMY;5150000000;-4877000000;39442000000;-3,25999999999999;-6541000000;27992000000;7067000000;45832000000;10314000000;8371000000;35059000000;11450000000;46509000000;1542000000
COP;25763000000;16954000000;41634000000;8,97;10685000000;3151000000;14813000000;56447000000;NULL;683000000;17964000000;38483000000;56447000000;1123000000
QCOM;11579000000;9850000000;28659000000;7,72;8712000000;12187000000;8689000000;37348000000;8726000000;2627000000;20876000000;16472000000;37348000000;691000000
HON;9405000000;8196000000;29495000000;8,77;5784000000;6185000000;7839000000;37334000000;1466000000;4719000000;14024000000;23310000000;37334000000;878000000
MS;NULL;NULL;NULL;6,06999999999999;10413000000;NULL;NULL;52688000000;NULL;25566000000;NULL;NULL;52688000000;46085000000
ORCL;22112000000;16020000000;37112000000;3,88;10977000000;21673000000;16703000000;53815000000;9006000000;9796000000;38376000000;15439000000;53815000000;3484000000
RTX;8806000000;4542000000;67097000000;1,73;2262000000;6544000000;5320000000;72417000000;2844000000;3149000000;11864000000;60553000000;72417000000;1850000000
INTC;11116000000;1036000000;54612000000;0,23;975000000;22320000000;509000000;55121000000;16478000000;5842000000;22829000000;32292000000;55121000000;1023000000
AMGN;11811000000;6737000000;24742000000;5,81;3130000000;13388000000;6192000000;29540000000;5403000000;7220000000;19580000000;11354000000;30934000000;3212000000
SPGI;5949000000;4798000000;8504000000;10,55;3323000000;4272000000;4772000000;13276000000;NULL;3122000000;9044000000;4232000000;13276000000;315000000
IBM;15132000000;10601000000;52725000000;9,07;8431000000;25343000000;9639000000;62362000000;7069000000;18148000000;34982000000;27382000000;62362000000;1676000000
GS;NULL;NULL;NULL;31,15;11241000000;NULL;NULL;50079000000;NULL;17232000000;NULL;NULL;50079000000;70000000000
CAT;16456000000;14331000000;52784000000;21,96;11007000000;10193000000;13584000000;66368000000;2163000000;6609000000;23777000000;42591000000;66368000000;535000000
BLK;8482000000;8044000000;11917000000;40,28;6047000000;2090000000;6769000000;18686000000;NULL;1936000000;8859000000;9827000000;18686000000;382000000
UPS;11038000000;7549000000;82125000000;6,13;5254000000;8072000000;7377000000;89502000000;NULL;NULL;15449000000;74053000000;89502000000;813000000
MDT;8282000000;5645000000;27012000000;2,96;3927000000;15664000000;5565000000;32577000000;2744000000;10779000000;21229000000;11348000000;32577000000;737000000
SCHW;NULL;NULL;NULL;2,41;4864000000;NULL;NULL;18495000000;NULL;6568000000;NULL;NULL;18495000000;6992000000
UNP;12124000000;9765000000;14767000000;10,65;6494000000;1415000000;9371000000;22600000000;NULL;NULL;10786000000;13352000000;24138000000;1308000000
DE;16095000000;14020000000;41842000000;29,31;8224000000;7983000000;13006000000;54848000000;2271000000;4835000000;20989000000;33859000000;54848000000;3260000000
LOW;12556000000;10607000000;73539000000;12,06;6931000000;17419000000;10484000000;82868000000;NULL;15692000000;27903000000;56120000000;84023000000;1486000000
GILD;5269000000;2513000000;20592000000;0,82;1053000000;13841000000;7211000000;27803000000;8166000000;5675000000;21052000000;6751000000;27803000000;975000000
CVS;17022000000;12472000000;350858000000;5,62;7190000000;41007000000;12390000000;363248000000;NULL;NULL;53397000000;309851000000;363248000000;2831000000
SBUX;7501600000;5934100000;30985000000;3,57;4070900000;4555700000;5490800000;34566800000;NULL;2514300000;10046500000;26429300000;36475800000;565200000
INTU;4594000000;3805000000;12408000000;10,45;2963000000;8943000000;3877000000;16285000000;2754000000;5706000000;12820000000;3465000000;16285000000;255000000
