ticker,date,free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,common_stock_issuance,net_issuance_payments_of_debt,net_short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,purchase_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_inventory,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,net_income_from_continuing_operations,effect_of_exchange_rate_changes,short_term_debt_issuance,change_in_tax_payable,change_in_income_tax_payable,depreciation,operating_gains_losses,gain_loss_on_investment_securities,proceeds_from_stock_option_exercised,net_intangibles_purchase_and_sale,purchase_of_intangibles,change_in_accrued_expense,amortization_cash_flow,amortization_of_intangibles,short_term_debt_payments,sale_of_ppe,capital_expenditure_reported,change_in_prepaid_assets,unrealized_gain_loss_on_investment_securities,asset_impairment_charge,sale_of_business,sale_of_intangibles,net_foreign_currency_exchange_gain_loss,gain_loss_on_sale_of_ppe,provisionand_write_offof_assets,gain_loss_on_sale_of_business,earnings_losses_from_equity_investments,dividend_received_cfo,dividend_paid_cfo,pension_and_employee_benefit_expense,dividends_received_cfi,depletion,other_cash_adjustment_outside_changein_cash,cash_from_discontinued_financing_activities,cash_from_discontinued_investing_activities,cash_from_discontinued_operating_activities,net_preferred_stock_issuance,preferred_stock_payments,taxes_refund_paid,preferred_stock_issuance,cash_flow_from_discontinued_operation,net_investment_properties_purchase_and_sale,sale_of_investment_properties,purchase_of_investment_properties,preferred_stock_dividend_paid,interest_received_cfi,amortization_of_securities,change_in_interest_payable
AAPL,2023-09-30,99584000000.0,-77550000000.0,-11151000000.0,5228000000.0,,-10959000000.0,3803000000.0,18679000000.0,30737000000.0,24977000000.0,5760000000.0,-108488000000.0,-108488000000.0,-6012000000.0,-15025000000.0,-15025000000.0,-77550000000.0,-77550000000.0,,-9901000000.0,-3978000000.0,-5923000000.0,-11151000000.0,5228000000.0,3705000000.0,3705000000.0,-1337000000.0,16001000000.0,45514000000.0,-29513000000.0,,,-10959000000.0,-10959000000.0,110543000000.0,110543000000.0,-6577000000.0,,3031000000.0,-5684000000.0,-1889000000.0,-1889000000.0,-1889000000.0,-1618000000.0,-417000000.0,-1688000000.0,-2227000000.0,10833000000.0,,,11519000000.0,11519000000.0,96995000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2022-09-30,111443000000.0,-89402000000.0,-9543000000.0,5465000000.0,,-10708000000.0,2865000000.0,19573000000.0,24977000000.0,35929000000.0,-10952000000.0,-110749000000.0,-110749000000.0,-6383000000.0,-14841000000.0,-14841000000.0,-89402000000.0,-89402000000.0,,-123000000.0,3955000000.0,-4078000000.0,-9543000000.0,5465000000.0,-22354000000.0,-22354000000.0,-2086000000.0,-9560000000.0,67363000000.0,-76923000000.0,-306000000.0,-306000000.0,-10708000000.0,-10708000000.0,122151000000.0,122151000000.0,1200000000.0,478000000.0,6110000000.0,-6499000000.0,9448000000.0,9448000000.0,9448000000.0,1484000000.0,-9343000000.0,-1823000000.0,1006000000.0,9038000000.0,895000000.0,895000000.0,11104000000.0,11104000000.0,99803000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2021-09-30,92953000000.0,-85971000000.0,-8750000000.0,20393000000.0,1105000000.0,-11085000000.0,2687000000.0,25385000000.0,35929000000.0,39789000000.0,-3860000000.0,-93353000000.0,-93353000000.0,-5580000000.0,-14467000000.0,-14467000000.0,-85971000000.0,-85971000000.0,1105000000.0,12665000000.0,1022000000.0,11643000000.0,-8750000000.0,20393000000.0,-14545000000.0,-14545000000.0,-385000000.0,-3075000000.0,106483000000.0,-109558000000.0,-33000000.0,-33000000.0,-11085000000.0,-11085000000.0,104038000000.0,104038000000.0,-4911000000.0,1676000000.0,7475000000.0,-8042000000.0,12326000000.0,12326000000.0,12326000000.0,-2642000000.0,-14028000000.0,-10125000000.0,-4921000000.0,7906000000.0,-4774000000.0,-4774000000.0,11284000000.0,11284000000.0,94680000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2020-09-30,73365000000.0,-72358000000.0,-12629000000.0,16091000000.0,880000000.0,-7309000000.0,3002000000.0,9501000000.0,39789000000.0,50224000000.0,-10435000000.0,-86820000000.0,-86820000000.0,-2880000000.0,-14081000000.0,-14081000000.0,-72358000000.0,-72358000000.0,880000000.0,2499000000.0,-963000000.0,3462000000.0,-12629000000.0,16091000000.0,-4289000000.0,-4289000000.0,-909000000.0,5453000000.0,120391000000.0,-114938000000.0,-1524000000.0,-1524000000.0,-7309000000.0,-7309000000.0,80674000000.0,80674000000.0,5690000000.0,2081000000.0,8916000000.0,-9588000000.0,-4062000000.0,-4062000000.0,-4062000000.0,-127000000.0,8470000000.0,6917000000.0,-97000000.0,6829000000.0,-215000000.0,-215000000.0,11056000000.0,11056000000.0,57411000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-06-30,74071000000.0,-17254000000.0,-29070000000.0,29645000000.0,2002000000.0,-44477000000.0,,,18315000000.0,34704000000.0,-16179000000.0,-37757000000.0,-37757000000.0,-1309000000.0,-21771000000.0,-21771000000.0,-15252000000.0,-17254000000.0,2002000000.0,575000000.0,5250000000.0,-4675000000.0,-29070000000.0,24395000000.0,-96970000000.0,-96970000000.0,-1298000000.0,17937000000.0,35669000000.0,-17732000000.0,-69132000000.0,-69132000000.0,-44477000000.0,-44477000000.0,118548000000.0,118548000000.0,1824000000.0,5348000000.0,5616000000.0,-8465000000.0,5232000000.0,5232000000.0,3545000000.0,1284000000.0,-7191000000.0,-7191000000.0,,10734000000.0,-4738000000.0,-4738000000.0,22287000000.0,22287000000.0,88136000000.0,-210000000.0,5250000000.0,1687000000.0,1687000000.0,22287000000.0,305000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-06-30,59475000000.0,-22245000000.0,-2750000000.0,0.0,1866000000.0,-28107000000.0,,,34704000000.0,13931000000.0,20967000000.0,-43935000000.0,-43935000000.0,-1006000000.0,-19800000000.0,-19800000000.0,-20379000000.0,-22245000000.0,1866000000.0,-2750000000.0,0.0,-2750000000.0,-2750000000.0,0.0,-22680000000.0,-22680000000.0,-3116000000.0,10213000000.0,47864000000.0,-37651000000.0,-1670000000.0,-1670000000.0,-28107000000.0,-28107000000.0,87582000000.0,87582000000.0,-2388000000.0,5535000000.0,2825000000.0,-4824000000.0,-3079000000.0,-3079000000.0,-2721000000.0,1242000000.0,-4087000000.0,-4087000000.0,,9611000000.0,-6059000000.0,-6059000000.0,13861000000.0,13861000000.0,72361000000.0,-194000000.0,0.0,-358000000.0,-358000000.0,13861000000.0,196000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2022-06-30,65149000000.0,-32696000000.0,-9023000000.0,0.0,1841000000.0,-23886000000.0,,,13931000000.0,14224000000.0,-152000000.0,-58876000000.0,-58876000000.0,-863000000.0,-18135000000.0,-18135000000.0,-30855000000.0,-32696000000.0,1841000000.0,-9023000000.0,0.0,-9023000000.0,-9023000000.0,0.0,-30311000000.0,-30311000000.0,-2825000000.0,18438000000.0,44894000000.0,-26456000000.0,-22038000000.0,-22038000000.0,-23886000000.0,-23886000000.0,89035000000.0,89035000000.0,446000000.0,5805000000.0,3169000000.0,-3514000000.0,2943000000.0,2943000000.0,2943000000.0,-1123000000.0,-6834000000.0,-6834000000.0,,7502000000.0,-5702000000.0,-5702000000.0,14460000000.0,14460000000.0,72738000000.0,-141000000.0,0.0,,,14460000000.0,-409000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2021-06-30,56118000000.0,-27385000000.0,-3750000000.0,,1693000000.0,-20622000000.0,,,14224000000.0,13576000000.0,677000000.0,-48486000000.0,-48486000000.0,-2523000000.0,-16521000000.0,-16521000000.0,-25692000000.0,-27385000000.0,1693000000.0,-3750000000.0,,-3750000000.0,-3750000000.0,,-27577000000.0,-27577000000.0,-922000000.0,2876000000.0,65800000000.0,-62924000000.0,-8909000000.0,-8909000000.0,-20622000000.0,-20622000000.0,76740000000.0,76740000000.0,-936000000.0,2324000000.0,5551000000.0,-4391000000.0,2798000000.0,2798000000.0,2798000000.0,-737000000.0,-6481000000.0,-6481000000.0,,6118000000.0,-150000000.0,-150000000.0,11686000000.0,11686000000.0,61271000000.0,-29000000.0,,,,11686000000.0,-1249000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2020-06-30,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-219000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,2023-12-31,69495000000.0,-61504000000.0,-11550000000.0,10790000000.0,,-32251000000.0,,19164000000.0,24048000000.0,21879000000.0,2590000000.0,-72093000000.0,-72093000000.0,8000000.0,,,-61504000000.0,-61504000000.0,,-760000000.0,,-760000000.0,-11550000000.0,10790000000.0,-27063000000.0,-27063000000.0,-1051000000.0,6734000000.0,87619000000.0,-80885000000.0,-495000000.0,-495000000.0,-32251000000.0,-32251000000.0,101746000000.0,101746000000.0,-3845000000.0,1048000000.0,,-2143000000.0,5083000000.0,664000000.0,664000000.0,,-7833000000.0,-7833000000.0,4330000000.0,22460000000.0,-7763000000.0,-7763000000.0,11946000000.0,11946000000.0,73795000000.0,-421000000.0,,,,11946000000.0,823000000.0,823000000.0,-9837000000.0,,,4419000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
