Date,Age,Gender,Education,Occupation,Exercise Frequency,Wearable Use Duration,Wearable Frequency,Data Tracking Frequency,Routine Impact,Motivation Impact,Enjoyment Improvement,Engagement Level,Community Improvement,Goal Impact,Health Impact,Sleep Improvement,Well-being Improvement,Exercise Influence,Fitness Purchase Influence,Fitness Class Influence,Diet Influence
2023/03/30,18-24,Male,College or Associate,Student,5 or more times a week,Less than 6 months,Daily,Every day,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree
2023/03/31,Under 18,Male,Bachelors,Student,5 or more times a week,Less than 6 months,3-4 times a week,Once a week,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral
2023/03/31,18-24,Female,Bachelors,Student,Less than once a week,Less than 6 months,Rarely,Rarely,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
2023/03/31,25-34,Female,College or Associate,Employed part-time,3-4 times a week,6-12 months,3-4 times a week,Every day,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Agree
2023/03/31,18-24,Male,Bachelors,Student,1-2 times a week,Less than 6 months,Daily,Every other day,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree
2023/03/31,18-24,Female,Masters,Employed full-time,5 or more times a week,1-2 years,Daily,Every day,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
2023/03/31,18-24,Male,Bachelors,Student,Less than once a week,1-2 years,1-2 times a week,Once a week,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral
2023/04/02,18-24,Female,Bachelors,Student,Less than once a week,Less than 6 months,Daily,Once a month,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
2023/04/02,18-24,Male,High School,Employed part-time,1-2 times a week,Less than 6 months,1-2 times a week,Every other day,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree
2023/04/02,35-44,Male,High School,Employed full-time,Less than once a week,6-12 months,Daily,Every day,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree
2023/04/02,35-44,Female,Doctorate or Professional,Self-employed,5 or more times a week,More than 2 years,Daily,Every day,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree
2023/04/02,18-24,Female,Bachelors,Self-employed,1-2 times a week,Less than 6 months,3-4 times a week,Every day,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree
2023/04/02,25-34,Female,High School,Employed part-time,Less than once a week,6-12 months,3-4 times a week,Once a month,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree
2023/04/02,45-54,Prefer not to say,Masters,Unemployed,3-4 times a week,6-12 months,1-2 times a week,Once a week,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Neutral
2023/04/02,55-64,Prefer not to say,Doctorate or Professional,Retired,5 or more times a week,6-12 months,3-4 times a week,Every other day,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree
2023/04/02,45-54,Female,Bachelors,Self-employed,Less than once a week,Less than 6 months,3-4 times a week,Every other day,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree
2023/04/06,25-34,Female,College or Associate,Unemployed,3-4 times a week,Less than 6 months,3-4 times a week,Once a week,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree
2023/04/06,25-34,Male,College or Associate,Self-employed,1-2 times a week,6-12 months,1-2 times a week,Once a week,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree
2023/04/07,25-34,Female,Doctorate or Professional,Self-employed,3-4 times a week,1-2 years,3-4 times a week,Every other day,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree
2023/04/07,55-64,Female,Doctorate or Professional,Retired,1-2 times a week,Less than 6 months,1-2 times a week,Once a week,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree
2023/04/07,Under 18,Male,High School,Student,3-4 times a week,6-12 months,3-4 times a week,Every other day,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2023/04/07,35-44,Male,Masters,Employed full-time,Less than once a week,Less than 6 months,Rarely,Rarely,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2023/04/07,25-34,Female,Masters,Self-employed,3-4 times a week,6-12 months,3-4 times a week,Once a week,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2023/04/07,45-54,Female,Doctorate or Professional,Employed part-time,1-2 times a week,Less than 6 months,1-2 times a week,Once a month,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
2023/04/07,18-24,Male,Bachelors,Employed full-time,3-4 times a week,1-2 years,Daily,Every day,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
2023/04/07,Under 18,Female,Masters,Employed part-time,3-4 times a week,6-12 months,1-2 times a week,Once a week,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
2023/04/07,35-44,Female,Doctorate or Professional,Self-employed,3-4 times a week,6-12 months,3-4 times a week,Every other day,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly agree
2023/04/07,Under 18,Male,High School,Student,5 or more times a week,More than 2 years,Daily,Every day,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
2023/04/07,18-24,Male,Less than high school,Employed full-time,1-2 times a week,Less than 6 months,Rarely,Every day,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2023/04/07,Under 18,Male,High School,Student,1-2 times a week,1-2 years,1-2 times a week,Every other day,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree
