ticker;date;total_assets;total_debt;invested_capital;working_capital;stockholders_equity;retained_earnings;long_term_debt;current_assets;current_liabilities;current_debt;payables_and_accrued_expenses;total_liabilities_net_minority_interest;accounts_payable;accounts_receivable;investments_and_advances;net_ppe;inventory;receivables;cash_and_cash_equivalents;cash_cash_equivalents_and_short_term_investments;goodwill;common_stock;share_issued
AAPL;2024-06-30 00:00:00.000;331612000000;101304000000;168012000000;-6189000000;66708000000;-4726000000;86196000000;125435000000;131624000000;15108000000;47574000000;264904000000;47574000000;22795000000;91240000000;44502000000;6165000000;43172000000;25565000000;61801000000;NULL;79850000000;15222259000
AAPL;2024-03-31 00:00:00.000;337411000000;104590000000;178784000000;4594000000;74194000000;4339000000;91831000000;128416000000;123822000000;12759000000;45753000000;263217000000;45753000000;21837000000;95187000000;43546000000;6232000000;41150000000;32695000000;67150000000;NULL;78815000000;15337686000
AAPL;2023-12-31 00:00:00.000;353514000000;108040000000;182140000000;9719000000;74100000000;8242000000;95088000000;143692000000;133973000000;12952000000;58146000000;279414000000;58146000000;23194000000;99475000000;43666000000;6511000000;50102000000;40760000000;73100000000;NULL;75236000000;15460223000
AAPL;2023-09-30 00:00:00.000;352583000000;123930000000;173234000000;-1742000000;62146000000;-214000000;95281000000;143566000000;145308000000;15807000000;71430000000;290437000000;62611000000;29508000000;100544000000;54376000000;6331000000;60985000000;29965000000;61555000000;NULL;73812000000;15550061000
MSFT;2024-06-30 00:00:00.000;512163000000;67127000000;320107000000;34448000000;268477000000;173144000000;42688000000;159734000000;125286000000;8942000000;27013000000;243686000000;21996000000;56924000000;14600000000;154552000000;1246000000;56924000000;18315000000;75531000000;119220000000;100923000000;7434000000
MSFT;2024-03-31 00:00:00.000;484275000000;79911000000;318594000000;28655000000;253152000000;159394000000;42658000000;147180000000;118525000000;22784000000;25398000000;231123000000;18087000000;44029000000;14807000000;138746000000;1304000000;44029000000;19634000000;80013000000;119163000000;99193000000;7432305794
MSFT;2023-12-31 00:00:00.000;470558000000;88374000000;312487000000;26377000000;238268000000;145737000000;44928000000;147393000000;121016000000;29291000000;23482000000;232290000000;17695000000;42831000000;13367000000;128706000000;1615000000;42831000000;17305000000;80982000000;118931000000;97480000000;7431612107
MSFT;2023-09-30 00:00:00.000;445785000000;84989000000;292216000000;82794000000;220714000000;132143000000;41946000000;207586000000;124792000000;29556000000;27342000000;225071000000;19307000000;36953000000;11423000000;117937000000;3000000000;36953000000;80452000000;143945000000;67790000000;95508000000;7431000000
GOOGL;2024-06-30 00:00:00.000;414770000000;27801000000;312629000000;84082000000;300753000000;226033000000;11876000000;161995000000;77913000000;NULL;50058000000;114017000000;6092000000;47087000000;34172000000;164761000000;NULL;47087000000;27225000000;100725000000;29185000000;79732000000;12322000000
GOOGL;2024-03-31 00:00:00.000;407350000000;28059000000;304717000000;88474000000;292844000000;219770000000;11873000000;165471000000;76997000000;NULL;50972000000;114506000000;6198000000;44552000000;33994000000;156950000000;NULL;44552000000;24493000000;108090000000;29183000000;77913000000;12381000000
GOOGL;2023-12-31 00:00:00.000;402392000000;28504000000;295249000000;89716000000;283379000000;211247000000;11870000000;171530000000;81814000000;NULL;50221000000;119013000000;7493000000;47964000000;31008000000;148436000000;NULL;47964000000;24048000000;110916000000;29198000000;76534000000;12460000000
GOOGL;2023-09-30 00:00:00.000;396711000000;29046000000;285069000000;90015000000;273202000000;205647000000;11867000000;176310000000;86295000000;NULL;57572000000;123509000000;5803000000;41020000000;30907000000;139904000000;2957000000;41020000000;30702000000;119935000000;29146000000;74591000000;12541000000
AMZN;2024-06-30 00:00:00.000;554818000000;132973000000;291336000000;15135000000;236447000000;137534000000;54889000000;173307000000;158172000000;NULL;142168000000;318371000000;81817000000;41200000000;NULL;295292000000;34109000000;44200000000;71178000000;89092000000;22879000000;110000000;11005000000
AMZN;2024-03-31 00:00:00.000;530969000000;134686000000;274295000000;11024000000;216661000000;124049000000;57634000000;163989000000;152965000000;NULL;137038000000;314308000000;73068000000;39100000000;NULL;283263000000;31147000000;42200000000;72852000000;85074000000;22770000000;109000000;10918000000
AMZN;2023-12-31 00:00:00.000;527854000000;135611000000;260189000000;7434000000;201875000000;113618000000;58314000000;172351000000;164917000000;NULL;149690000000;325979000000;84981000000;52253000000;NULL;276690000000;33318000000;52253000000;73387000000;86780000000;22789000000;109000000;10898000000
AMZN;2023-09-30 00:00:00.000;486883000000;136989000000;244071000000;-2219000000;182973000000;102994000000;61098000000;142995000000;145214000000;NULL;130816000000;303910000000;72004000000;35600000000;NULL;267226000000;35406000000;38100000000;49605000000;64169000000;22749000000;108000000;10845000000
NVDA;2024-07-31 00:00:00.000;85227000000;10015000000;66618000000;45664000000;58157000000;45961000000;8461000000;59633000000;13969000000;NULL;11713000000;27070000000;3680000000;14132000000;1819000000;6441000000;6675000000;14132000000;8563000000;34800000000;4622000000;25000000;24562000000
NVDA;2024-04-30 00:00:00.000;77072000000;11237000000;58852000000;38506000000;49142000000;36598000000;8460000000;53729000000;15223000000;1250000000;12089000000;27930000000;2715000000;12365000000;1750000000;5538000000;5864000000;12365000000;7587000000;31438000000;4453000000;2000000;24598341970
NVDA;2024-01-31 00:00:00.000;65728000000;11056000000;52687000000;33714000000;42978000000;29817000000;8459000000;44345000000;10631000000;1250000000;7775000000;22750000000;2699000000;9999000000;1546000000;5260000000;5282000000;9999000000;7280000000;25984000000;4430000000;2000000;24640000000
NVDA;2023-10-31 00:00:00.000;54148000000;11027000000;42971000000;23557000000;33265000000;20360000000;8457000000;32658000000;9101000000;1249000000;6634000000;20883000000;2380000000;8309000000;1172000000;5160000000;4779000000;8309000000;5519000000;18281000000;4430000000;2000000;24660000000
BRK-B;2024-06-30 00:00:00.000;1108860000000;123628000000;725325000000;NULL;601697000000;650273000000;121374000000;NULL;NULL;2254000000;NULL;500889000000;NULL;5809000000;566356000000;219469000000;NULL;52469000000;42324000000;276942000000;84411000000;8000000;1658096
