ticker;free_cash_flow;capital_expenditure;changes_in_cash;financing_cash_flows;operating_cash_flow;investing_cash_flows;change_in_working_capital;change_in_receivables;depreciation_and_amortization;net_ppe_purchase_and_sale;purchase_of_ppe
AAPL;2020;-7309000000;-10435000000;-86820000000;80674000000;-4289000000;5690000000;8470000000;11056000000;-7309000000;-7309000000
MSFT;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GOOGL;2020;-22281000000;7943000000;-24408000000;65124000000;-32773000000;1827000000;-6524000000;13697000000;-22281000000;-22281000000
AMZN;2020;-40140000000;5349000000;-1104000000;66064000000;-59611000000;13481000000;-8169000000;25251000000;-35044000000;-40140000000
NVDA;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRK-B;2020;-13012000000;-16328000000;-18344000000;39773000000;-37757000000;15566000000;-1609000000;10596000000;-13012000000;-13012000000
META;2020;-15163000000;-1604000000;-10292000000;38747000000;-30059000000;-2723000000;-1512000000;6862000000;-15115000000;-15163000000
TSLA;2020;-3242000000;12784000000;9973000000;5943000000;-3132000000;184000000;-652000000;2322000000;-3232000000;-3232000000
UNH;2020;-2051000000;6052000000;-3590000000;22174000000;-12532000000;2895000000;-688000000;2891000000;-2051000000;-2051000000
JNJ;2020;-3347000000;-3409000000;-6120000000;23536000000;-20825000000;2690000000;774000000;7231000000;-3347000000;-3347000000
V;2020;-736000000;7899000000;-3968000000;10440000000;1427000000;-8398000000;1815000000;767000000;-736000000;-736000000
XOM;2020;-17282000000;1494000000;5285000000;14668000000;-18459000000;-1653000000;5384000000;NULL;-17282000000;-17282000000
PG;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LLY;2020;-2029100000;1103600000;-3137100000;6499600000;-2258900000;-747400000;-1350200000;1323900000;-1387900000;-1387900000
MA;2020;-708000000;3193000000;-2152000000;7224000000;-1879000000;-1150000000;-88000000;580000000;-339000000;-339000000
HD;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;37000000;NULL
CVX;2020;-8922000000;-124000000;-3736000000;10577000000;-6965000000;-1604000000;2719000000;16156000000;NULL;NULL
MRK;2020;-4429000000;-2022000000;-2832000000;10253000000;-9443000000;-4601000000;-1002000000;3486000000;NULL;NULL
ABBV;2020;-798000000;-31470000000;-11501000000;17588000000;-37557000000;106000000;-929000000;6471000000;-798000000;-798000000
PEP;2020;-4240000000;2813000000;3819000000;10613000000;-11619000000;-303000000;-420000000;3026000000;55000000;NULL
KO;2020;-1177000000;297000000;-8070000000;9844000000;-1477000000;690000000;882000000;1536000000;-988000000;-1177000000
PFE;2020;-2226000000;483000000;-9649000000;14403000000;-4271000000;-275000000;-1249000000;4777000000;-2226000000;-2226000000
AVGO;2020;-463000000;2563000000;1611000000;12061000000;-11109000000;1093000000;981000000;6905000000;-463000000;-463000000
COST;2020;-2810000000;3823000000;-1147000000;8861000000;-3891000000;2198000000;NULL;1645000000;-2810000000;-2810000000
TMO;2020;-1474000000;7738000000;959000000;8289000000;-1510000000;-299000000;-1302000000;2325000000;-1466000000;-1474000000
MCD;2020;-1640800000;2470400000;-2249000000;6265200000;-1545800000;-212100000;-6800000;1751400000;27400000;NULL
WMT;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CSCO;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ACN;2020;-599132000;2271541000;-4049092000;8215152000;-1894519000;131825000;721500000;1773124000;-599132000;-599132000
ABT;2020;-2177000000;2907000000;-2779000000;7901000000;-2215000000;-892000000;-924000000;3327000000;-2177000000;-2177000000
DHR;2020;-791000000;-14025000000;1006000000;6208000000;-21239000000;579000000;-264000000;1775000000;-789000000;-791000000
NFLX;2020;-497923000;3159034000;1237311000;2427077000;-505354000;-31873000;NULL;10922622000;-497923000;-497923000
LIN;2020;-3400000000;1098000000;-3345000000;7429000000;-2986000000;364000000;19000000;4626000000;NULL;NULL
VZ;2020;-22088000000;19581000000;1325000000;41768000000;-23512000000;56000000;189000000;16720000000;NULL;NULL
ADBE;2020;-419000000;1825000000;-3488000000;5727000000;-414000000;186000000;106000000;757000000;-419000000;-419000000
NKE;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
TXN;2020;-649000000;670000000;-4547000000;6139000000;-922000000;-428000000;-340000000;992000000;NULL;NULL
CRM;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NEE;2020;-7759000000;458000000;6174000000;7983000000;-13699000000;-604000000;NULL;4315000000;-245000000;-245000000
PM;2020;-602000000;162000000;-8496000000;9812000000;-1154000000;128000000;26000000;981000000;NULL;NULL
BMY;2020;-753000000;2042000000;-1151000000;14052000000;-10859000000;983000000;-646000000;10380000000;NULL;NULL
COP;2020;-4715000000;-2027000000;-2708000000;4802000000;-4121000000;-372000000;521000000;5521000000;NULL;NULL
QCOM;2020;-1407000000;-5156000000;-5707000000;5814000000;-5263000000;-1607000000;-1529000000;1393000000;NULL;NULL
HON;2020;-906000000;5140000000;-81000000;6208000000;-987000000;1363000000;669000000;1002000000;57000000;-906000000
MS;2020;-1444000000;20655000000;83784000000;-25231000000;-37898000000;-42276000000;-29774000000;3769000000;-1444000000;-1444000000
