date;ticker;forward_dividend_yield
1.10.2019;AAPL;0
2.10.2019;AAPL;0
3.10.2019;AAPL;0
4.10.2019;AAPL;0
7.10.2019;AAPL;0
8.10.2019;AAPL;0
9.10.2019;AAPL;0
10.10.2019;AAPL;0
11.10.2019;AAPL;0
14.10.2019;AAPL;0
15.10.2019;AAPL;0
16.10.2019;AAPL;0
17.10.2019;AAPL;0
18.10.2019;AAPL;0
21.10.2019;AAPL;0
22.10.2019;AAPL;0
23.10.2019;AAPL;0
24.10.2019;AAPL;0
25.10.2019;AAPL;0
28.10.2019;AAPL;0
29.10.2019;AAPL;0
30.10.2019;AAPL;0
31.10.2019;AAPL;0
1.11.2019;AAPL;0
4.11.2019;AAPL;0
5.11.2019;AAPL;0
6.11.2019;AAPL;0
7.11.2019;AAPL;0,305810888
8.11.2019;AAPL;0,30497626
11.11.2019;AAPL;0,30258026
12.11.2019;AAPL;0,302857413
13.11.2019;AAPL;0,29998307
14.11.2019;AAPL;0,302073232
15.11.2019;AAPL;0,298527015
18.11.2019;AAPL;0,297029349
19.11.2019;AAPL;0,297932767
20.11.2019;AAPL;0,301441981
21.11.2019;AAPL;0,302799642
22.11.2019;AAPL;0,303065639
25.11.2019;AAPL;0,297843296
26.11.2019;AAPL;0,300187396
27.11.2019;AAPL;0,29620864
29.11.2019;AAPL;0,29686258
2.12.2019;AAPL;0,300335148
3.12.2019;AAPL;0,305787316
4.12.2019;AAPL;0,303112041
5.12.2019;AAPL;0,298729362
6.12.2019;AAPL;0,293068326
9.12.2019;AAPL;0,297229565
10.12.2019;AAPL;0,295502537
11.12.2019;AAPL;0,293003357
12.12.2019;AAPL;0,292258667
13.12.2019;AAPL;0,288339221
16.12.2019;AAPL;0,283486514
17.12.2019;AAPL;0,282930436
18.12.2019;AAPL;0,283608078
19.12.2019;AAPL;0,283324517
20.12.2019;AAPL;0,283912588
23.12.2019;AAPL;0,279353975
24.12.2019;AAPL;0,279088669
26.12.2019;AAPL;0,273659121
27.12.2019;AAPL;0,273763163
30.12.2019;AAPL;0,272147814
31.12.2019;AAPL;0,27017379
2.1.2020;AAPL;0,264146906
3.1.2020;AAPL;0,26674019
6.1.2020;AAPL;0,264631564
7.1.2020;AAPL;0,265881927
8.1.2020;AAPL;0,261672663
9.1.2020;AAPL;0,256230077
10.1.2020;AAPL;0,25565211
13.1.2020;AAPL;0,250304531
14.1.2020;AAPL;0,253730711
15.1.2020;AAPL;0,254822763
16.1.2020;AAPL;0,251670255
17.1.2020;AAPL;0,248914498
21.1.2020;AAPL;0,250612941
22.1.2020;AAPL;0,249721491
23.1.2020;AAPL;0,248524667
24.1.2020;AAPL;0,24924305
27.1.2020;AAPL;0,256794066
28.1.2020;AAPL;0,249729425
29.1.2020;AAPL;0,244609169
30.1.2020;AAPL;0,244964089
31.1.2020;AAPL;0,256329384
3.2.2020;AAPL;0,257035339
4.2.2020;AAPL;0,248820803
5.2.2020;AAPL;0,246808318
6.2.2020;AAPL;0,243954759
7.2.2020;AAPL;0,494632944
10.2.2020;AAPL;0,492294821
11.2.2020;AAPL;0,495282944
12.2.2020;AAPL;0,483793967
13.2.2020;AAPL;0,487263751
14.2.2020;AAPL;0,487143663
18.2.2020;AAPL;0,496229996
19.2.2020;AAPL;0,48914588
20.2.2020;AAPL;0,494215948
21.2.2020;AAPL;0,505661581
24.2.2020;AAPL;0,530878617
25.2.2020;AAPL;0,549490937
26.2.2020;AAPL;0,540910271
27.2.2020;AAPL;0,578741469
28.2.2020;AAPL;0,579080109
2.3.2020;AAPL;0,529759243
3.3.2020;AAPL;0,547136061
4.3.2020;AAPL;0,522882329
5.3.2020;AAPL;0,54041158
6.3.2020;AAPL;0,547684929
9.3.2020;AAPL;0,594722902
10.3.2020;AAPL;0,554767594
11.3.2020;AAPL;0,574728175
12.3.2020;AAPL;0,637704408
13.3.2020;AAPL;0,569476444
16.3.2020;AAPL;0,653554153
17.3.2020;AAPL;0,626027715
18.3.2020;AAPL;0,641737415
19.3.2020;AAPL;0,646692515
20.3.2020;AAPL;0,690531174
23.3.2020;AAPL;0,705519406
24.3.2020;AAPL;0,641191541
25.3.2020;AAPL;0,644743297
26.3.2020;AAPL;0,612511035
27.3.2020;AAPL;0,638965635
30.3.2020;AAPL;0,621236909
31.3.2020;AAPL;0,62250726
1.4.2020;AAPL;0,657080869
2.4.2020;AAPL;0,646296365
3.4.2020;AAPL;0,65572005
6.4.2020;AAPL;0,603106392
7.4.2020;AAPL;0,610173816
8.4.2020;AAPL;0,594946294
9.4.2020;AAPL;0,590683875
13.4.2020;AAPL;0,579313382
