ticker;ebitda;ebit;total_expenses;diluted_eps;net_income;operating_expense;operating_income;operating_revenue;research_and_development;selling_general_and_administration;gross_profit;cost_of_revenue;total_revenue;interest_expense
AAPL;2024-06-30 00:00:00;25352000000;60425000000;1,4;21448000000;14326000000;25352000000;85777000000;8006000000;6320000000;39678000000;46099000000;85777000000;NULL
AAPL;2024-03-31 00:00:00;27900000000;62853000000;1,53;23636000000;14371000000;27900000000;90753000000;7903000000;6468000000;42271000000;48482000000;90753000000;NULL
AAPL;2023-12-31 00:00:00;40373000000;79202000000;2,18;33916000000;14482000000;40373000000;119575000000;7696000000;6786000000;54855000000;64720000000;119575000000;NULL
AAPL;2023-09-30 00:00:00;28000000000;62529000000;1,46;22956000000;13458000000;26969000000;89498000000;7307000000;6151000000;40427000000;49071000000;89498000000;NULL
MSFT;2024-06-30 00:00:00;27951000000;36802000000;2,95;22036000000;17118000000;27925000000;64727000000;8056000000;9062000000;45043000000;19684000000;64727000000;701000000
MSFT;2024-03-31 00:00:00;27527000000;34277000000;2,94;21939000000;15772000000;27581000000;61858000000;7653000000;8119000000;43353000000;18505000000;61858000000;800000000
MSFT;2023-12-31 00:00:00;27435000000;34988000000;2,93;21870000000;15365000000;27032000000;62020000000;7142000000;8223000000;42397000000;19623000000;62020000000;909000000
MSFT;2023-09-30 00:00:00;27809000000;29622000000;2,99;22291000000;13320000000;26895000000;56517000000;6659000000;6661000000;40215000000;16302000000;56517000000;525000000
GOOGL;2024-06-30 00:00:00;27618000000;57317000000;1,89;23619000000;21810000000;27425000000;84742000000;11860000000;9950000000;49235000000;35507000000;84742000000;67000000
GOOGL;2024-03-31 00:00:00;28409000000;55067000000;1,89;23662000000;21355000000;25472000000;80539000000;11903000000;9452000000;46827000000;33712000000;80539000000;94000000
GOOGL;2023-12-31 00:00:00;24481000000;62613000000;1,64;20687000000;25038000000;23697000000;86310000000;12113000000;12925000000;48735000000;37575000000;86310000000;69000000
GOOGL;2023-09-30 00:00:00;21313000000;55350000000;1,55;19689000000;22121000000;21343000000;76693000000;11258000000;10863000000;43464000000;33229000000;76693000000;116000000
AMZN;2024-06-30 00:00:00;15834000000;133305000000;1,26;13485000000;13650000000;14672000000;147977000000;NULL;13553000000;28322000000;119655000000;147977000000;589000000
AMZN;2024-03-31 00:00:00;13627000000;128006000000;0,98;10431000000;12632000000;15307000000;143313000000;NULL;12404000000;27939000000;115374000000;143313000000;644000000
AMZN;2023-12-31 00:00:00;14399000000;156752000000;1;10624000000;16066000000;13209000000;169961000000;NULL;15912000000;29275000000;140686000000;169961000000;713000000
AMZN;2023-09-30 00:00:00;12995000000;131895000000;0,94;9879000000;13356000000;11188000000;143083000000;NULL;13112000000;24544000000;118539000000;143083000000;806000000
NVDA;2024-07-31 00:00:00;19275000000;11398000000;0,67;16599000000;3932000000;18642000000;30040000000;3090000000;842000000;22574000000;7466000000;30040000000;61000000
NVDA;2024-04-30 00:00:00;17343000000;9135000000;0,598;14881000000;3497000000;16909000000;26044000000;2720000000;777000000;20406000000;5638000000;26044000000;64000000
NVDA;2024-01-31 00:00:00;14169000000;8489000000;0,49;12285000000;3177000000;13614000000;22103000000;2465000000;712000000;16791000000;5312000000;22103000000;63000000
NVDA;2023-10-31 00:00:00;10585000000;7703000000;0,371;9243000000;2983000000;10417000000;18120000000;2294000000;689000000;13400000000;4720000000;18120000000;63000000
BRK-B;2024-06-30 00:00:00;39367000000;79373000000;14,08134;30348000000;NULL;NULL;117510000000;NULL;6934000000;NULL;NULL;117510000000;1230000000
