ticker;ebitda;ebit;total_expenses;diluted_eps;net_income;operating_expense;operating_income;operating_revenue;selling_general_and_administration;gross_profit;cost_of_revenue;total_revenue;interest_expense
AAPL;2020;69964000000;208227000000;3,28;57411000000;38668000000;66288000000;274515000000;19916000000;104956000000;169559000000;274515000000;2873000000
GOOGL;2020;48217000000;141303000000;2,930501;40269000000;56571000000;41224000000;182527000000;28998000000;97795000000;84732000000;182527000000;135000000
AMZN;2020;25825000000;363165000000;2,0915;21331000000;28601000000;22899000000;386064000000;28676000000;51500000000;334564000000;386064000000;1647000000
BRK-B;2020;59776000000;230632000000;17,778676;42521000000;NULL;NULL;286325000000;23329000000;NULL;NULL;286325000000;4083000000
META;2020;32671000000;53294000000;10,09;29146000000;36602000000;32671000000;85308000000;18155000000;69273000000;16692000000;85965000000;NULL
TSLA;2020;1902000000;29542000000;0,213333;721000000;4636000000;1994000000;31536000000;3145000000;6630000000;24906000000;31536000000;748000000
UNH;2020;22405000000;234736000000;16,03;15403000000;44595000000;20903000000;255639000000;NULL;65498000000;190141000000;255639000000;1663000000
JNJ;2020;16698000000;62851000000;5,51;14714000000;34424000000;19733000000;82584000000;22084000000;54157000000;28427000000;82584000000;201000000
V;2020;14306000000;7754000000;4,89;10866000000;3242000000;14092000000;27078000000;2475000000;17334000000;4512000000;21846000000;516000000
XOM;2020;-27725000000;209227000000;-5,25;-22440000000;38780000000;-30653000000;178574000000;11373000000;8127000000;170447000000;178574000000;1158000000
PG;2020;NULL;NULL;4,96;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LLY;2020;7589500000;17438400000;6,47477;6193700000;11955100000;7101400000;24539800000;5869400000;19056500000;5483300000;24539800000;359600000
MA;2020;8140000000;7138000000;6,37;6411000000;3351000000;8163000000;18899000000;2771000000;11514000000;3787000000;15301000000;380000000
HD;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CVX;2020;-6756000000;100568000000;-2,96;-5543000000;28912000000;-6097000000;94471000000;4213000000;22815000000;71656000000;94471000000;697000000
MRK;2020;6694000000;35970000000;2,78;7067000000;22352000000;5548000000;41518000000;8955000000;27900000000;13618000000;41518000000;831000000
ABBV;2020;5852000000;33065000000;2,615101;4616000000;17678000000;12739000000;45804000000;11299000000;30417000000;15387000000;45804000000;2454000000
PEP;2020;10197000000;60250000000;5,12;7120000000;28453000000;10122000000;70372000000;28453000000;38575000000;31797000000;70372000000;1128000000
KO;2020;11186000000;23289000000;1,79;7747000000;9856000000;9725000000;33014000000;9731000000;19581000000;13433000000;33014000000;1437000000
PFE;2020;8485000000;32822000000;1,71;9159000000;24338000000;8829000000;41651000000;11597000000;33167000000;8484000000;41651000000;1449000000
AVGO;2020;4220000000;19676000000;0,631418;2960000000;9304000000;4212000000;23888000000;1935000000;13516000000;10372000000;23888000000;1777000000
COST;2020;5531000000;161326000000;9,02;4002000000;16387000000;5435000000;166761000000;16387000000;21822000000;144939000000;166761000000;164000000
TMO;2020;7783000000;24325000000;15,96;6375000000;8111000000;7893000000;32218000000;6930000000;16004000000;16214000000;32218000000;553000000
MCD;2020;7358800000;12001300000;6,31;4730500000;2545600000;7206500000;18865300000;2245000000;9752100000;9455700000;19207800000;1218100000
CSCO;2020;NULL;NULL;2,64;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ACN;2020;6807402000;37813395000;7,89;5107839000;7462514000;6513644000;44327039000;7462514000;13976158000;30350881000;44327039000;33071000
ABT;2020;5514000000;29251000000;2,5;4495000000;14248000000;5357000000;34608000000;9696000000;19605000000;15003000000;34608000000;546000000
DHR;2020;4770000000;18053000000;4,89;3646000000;8244000000;4231000000;22284000000;6896000000;12475000000;9809000000;22284000000;275000000
NFLX;2020;4585289000;20410767000;6,08;2761395000;5134448000;4585289000;24996056000;3304848000;9719737000;15276319000;24996056000;1385940000
LIN;2020;3639000000;23354000000;4,71;2501000000;7971000000;3889000000;27243000000;3193000000;11860000000;15383000000;27243000000;255000000
VZ;2020;28214000000;99494000000;4,3;17801000000;48293000000;28798000000;128292000000;31573000000;77091000000;51201000000;128292000000;4247000000
ADBE;2020;4292000000;8631000000;10,83;5260000000;6909000000;4237000000;12868000000;4559000000;11146000000;1722000000;12868000000;116000000
TXN;2020;6207000000;8345000000;5,97;5595000000;3153000000;6116000000;14461000000;1623000000;9269000000;5192000000;14461000000;190000000
CRM;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NEE;2020;4363000000;13051000000;1,48;2919000000;5761000000;4946000000;17997000000;NULL;10707000000;7290000000;17997000000;1950000000
PM;2020;11681000000;17123000000;5,16;8056000000;7554000000;11571000000;76047000000;7481000000;19125000000;9569000000;28694000000;728000000
BMY;2020;-5451000000;40341000000;-3,99;-9015000000;28568000000;2177000000;41936000000;7661000000;30745000000;11773000000;42518000000;1420000000
COP;2020;-2082000000;20584000000;-2,51;-2701000000;2641000000;-1800000000;18784000000;430000000;841000000;17943000000;18784000000;1058000000
QCOM;2020;6321000000;17276000000;4,52;5198000000;8021000000;6255000000;23531000000;2074000000;14276000000;9255000000;23531000000;602000000
HON;2020;6371000000;25983000000;6,72;4779000000;3814000000;6654000000;32637000000;3814000000;10468000000;22169000000;32637000000;359000000
MS;2020;NULL;NULL;6,46;10996000000;NULL;NULL;45828000000;21137000000;NULL;NULL;45828000000;3849000000
ORCL;2020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RTX;2020;-945000000;55293000000;-2,59;-3519000000;7237000000;1294000000;56587000000;5540000000;8531000000;48056000000;56587000000;1408000000
INTC;2020;25707000000;53991000000;4,94;20899000000;19736000000;23876000000;77867000000;6180000000;43612000000;34255000000;77867000000;629000000
AMGN;2020;9395000000;16285000000;12,31;7264000000;10126000000;9139000000;24240000000;5730000000;19265000000;6159000000;25424000000;1262000000
SPGI;2020;3369000000;3841000000;9,66;2339000000;1747000000;3601000000;7442000000;1541000000;5348000000;2094000000;7442000000;141000000
IBM;2020;3860000000;50517000000;6,23;5590000000;26203000000;4662000000;55179000000;20561000000;30865000000;24314000000;55179000000;1288000000
GS;2020;NULL;NULL;24,74;9459000000;NULL;NULL;44559000000;13710000000;NULL;NULL;44559000000;8938000000
